Type,TimeStamp,Latitude,Longitude,HAccuracy,Speed,Course
0,2017-09-22 20:43:23 +0000,37.460611,-121.900797,5,29.889999,324.84375
0,2017-09-22 20:43:28 +0000,37.461745,-121.90175,5,30.1,326.601562
0,2017-09-22 20:43:33 +0000,37.462882,-121.902654,5,29.84,327.304688
0,2017-09-22 20:43:37 +0000,37.463792,-121.903388,5,29.75,327.65625
0,2017-09-22 20:43:42 +0000,37.46493,-121.904284,5,29.76,327.304688
0,2017-09-22 20:43:47 +0000,37.46601,-121.905157,5,27.790001,326.601562
0,2017-09-22 20:43:48 +0000,37.46622,-121.905323,5,27.24,326.953125
0,2017-09-22 20:43:53 +0000,37.467237,-121.906154,5,27.719999,327.304688
0,2017-09-22 20:43:54 +0000,37.467449,-121.906328,5,28.25,327.304688
0,2017-09-22 20:43:59 +0000,37.468559,-121.90722,5,29.24,328.007812
0,2017-09-22 20:44:00 +0000,37.468785,-121.907396,5,29.02,327.304688
0,2017-09-22 20:44:05 +0000,37.469849,-121.90825,5,27.58,327.65625
0,2017-09-22 20:44:06 +0000,37.470062,-121.908417,5,27.76,327.65625
0,2017-09-22 20:44:11 +0000,37.471184,-121.909244,5,30.26,332.226562
0,2017-09-22 20:44:16 +0000,37.472461,-121.909958,5,30.540001,337.851562
0,2017-09-22 20:44:20 +0000,37.473482,-121.910424,5,29.77,343.125
0,2017-09-22 20:44:25 +0000,37.474755,-121.910855,5,29.27,345.585938
0,2017-09-22 20:44:29 +0000,37.47576,-121.91117,5,27.870001,346.289062
0,2017-09-22 20:44:34 +0000,37.476933,-121.911519,5,26.24,346.640625
0,2017-09-22 20:44:38 +0000,37.477852,-121.911795,5,25.99,346.289062
0,2017-09-22 20:44:43 +0000,37.47895,-121.91214,5,23.950001,345.9375
0,2017-09-22 20:44:50 +0000,37.48045,-121.912594,5,24.99,346.992188
0,2017-09-22 20:44:54 +0000,37.481356,-121.91287,5,25.790001,345.585938
0,2017-09-22 20:44:59 +0000,37.48249,-121.913215,5,26.030001,345.9375
0,2017-09-22 20:45:04 +0000,37.483546,-121.913578,5,23.75,343.828125
0,2017-09-22 20:45:09 +0000,37.484394,-121.913961,5,17.83,337.851562
0,2017-09-22 20:45:14 +0000,37.484982,-121.91427,5,11.98,339.257812
0,2017-09-22 20:45:19 +0000,37.485292,-121.914459,5,4.82,331.171875
0,2017-09-22 20:45:24 +0000,37.485425,-121.914561,5,3.37,330.117188
